tweet_id,favorites,retweets
892420643555336193,35930,7630
892177421306343426,31000,5643
891815181378084864,23319,3740
891689557279858688,39213,7800
891327558926688256,37457,8395
891087950875897856,18880,2819
890971913173991426,10964,1835
890729181411237888,60511,17030
890609185150312448,25965,3878
890240255349198849,29667,6632
890006608113172480,28561,6619
889880896479866881,25985,4496
889665388333682689,44718,9022
889638837579907072,25169,4045
889531135344209921,14102,2038
889278841981685760,23459,4818
888917238123831296,27103,4060
888804989199671297,23803,3826
888554962724278272,18372,3141
888078434458587136,20282,3137
887705289381826560,28169,4879
887517139158093824,43205,10641
887473957103951883,64009,16262
887343217045368832,31350,9467
887101392804085760,28520,5396
886983233522544640,32497,6932
886736880519319552,11156,2902
886680336477933568,20931,4044
886366144734445568,19677,2861
886267009285017600,111,4
886258384151887873,26060,5711
886054160059072513,0,100
885984800019947520,30348,6075
885528943205470208,33455,5777
885518971528720385,19067,3378
885311592912609280,0,16722
885167619883638784,20369,3946
884925521741709313,71722,16328
884876753390489601,25912,5038
884562892145688576,22642,4251
884441805382717440,25244,5145
884247878851493888,67562,18358
884162670584377345,18994,2709
883838122936631299,20351,3098
883482846933004288,42660,8925
883360690899218434,21112,3345
883117836046086144,34574,6007
882992080364220416,22254,3513
882762694511734784,26311,4417
882627270321602560,26070,5493
882268110199369728,41740,10466
882045870035918850,27306,4411
881906580714921986,22672,3076
881666595344535552,47194,9648
881633300179243008,116,7
881536004380872706,46082,14460
881268444196462592,21645,4781
880935762899988482,15938,2532
880872448815771648,19824,3467
880465832366813184,26524,5625
880221127280381952,25119,3773
880095782870896641,25730,3928
879862464715927552,20845,3164
879674319642796034,292,10
879492040517615616,21889,2892
879415818425184262,98594,40263
879376492567855104,15673,2834
879130579576475649,0,6164
879050749262655488,21008,4261
879008229531029506,17727,2427
878776093423087618,18068,3708
878604707211726852,28088,6414
878404777348136964,0,1164
878316110768087041,0,6025
878281511006478336,7210,1164
878057613040115712,39253,6164
877736472329191424,73939,17175
877611172832227328,0,72
877556246731214848,21175,3450
877316821321428993,25571,4722
877201837425926144,25288,5055
876838120628539392,19309,3029
876537666061221889,22108,4265
876484053909872640,17534,2149
876120275196170240,26134,4241
875747767867523072,23491,3883
875144289856114688,20497,4458
875097192612077568,25636,5525
875021211251597312,23841,4287
